Customer ID,Age,Annual Income (K$),Gender,Product Category Purchased,Average Spend per Visit ($),Number of Visits in Last 6 Months,Customer Segment
1,56,106,Female,Fashion,163.4527643193487,16,Premium Shopper
2,69,66,Female,Home,163.02049640817404,31,Budget Shopper
3,46,110,Male,Fashion,104.54128370430516,29,Budget Shopper
4,32,50,Male,Electronics,110.06456707096147,26,Regular Shopper
5,60,73,Female,Others,142.25455889585135,38,Regular Shopper
6,25,48,Male,Home,106.76211543486235,22,Budget Shopper
7,38,100,Male,Electronics,89.23759220415418,20,Budget Shopper
8,56,131,Male,Books,199.0298967263817,33,Budget Shopper
9,36,37,Female,Books,38.0516812919862,34,Premium Shopper
10,40,106,Female,Fashion,122.61831605557353,34,Budget Shopper
11,28,130,Female,Books,178.31397495437545,24,Budget Shopper
12,28,95,Female,Others,140.5708578244118,26,Regular Shopper
13,41,70,Female,Home,177.3754268267653,38,Premium Shopper
14,53,104,Male,Fashion,73.90359686738779,8,Regular Shopper
15,57,117,Male,Home,61.67866548944545,35,Budget Shopper
16,41,99,Male,Home,171.7417535113999,18,Premium Shopper
17,20,90,Male,Electronics,84.8817694752375,12,Budget Shopper
18,39,55,Male,Books,144.83964138088913,9,Premium Shopper
19,19,100,Male,Home,38.07222989868171,12,Premium Shopper
20,41,132,Female,Others,153.60924382156819,15,Premium Shopper
21,61,112,Female,Others,114.30670331472518,33,Premium Shopper
22,47,99,Male,Books,61.03621158298757,25,Premium Shopper
23,55,136,Female,Books,103.95575315219196,17,Premium Shopper
24,19,58,Male,Fashion,142.41928890954367,23,Regular Shopper
25,38,136,Male,Fashion,12.2584176810029,7,Regular Shopper
26,50,132,Female,Fashion,131.1187411746846,38,Budget Shopper
27,29,95,Female,Books,112.90224787192214,23,Premium Shopper
28,39,48,Male,Home,51.854371871879195,36,Premium Shopper
29,61,97,Female,Electronics,153.0664040554774,18,Regular Shopper
30,42,87,Male,Fashion,67.65758708030822,11,Budget Shopper
31,66,99,Male,Electronics,62.603576993847305,24,Budget Shopper
32,44,142,Male,Others,99.53148630987131,36,Regular Shopper
33,59,86,Male,Books,138.4684389002493,35,Regular Shopper
34,45,66,Male,Others,186.48073541648833,26,Premium Shopper
35,33,90,Female,Fashion,36.85787619509975,9,Regular Shopper
36,32,121,Male,Home,85.3289429428294,35,Premium Shopper
37,64,59,Female,Fashion,22.728022577399685,19,Budget Shopper
